,tokens,tone
188,노원구 상계 인근 주민 여러분 산사태 경보 입니다 있지 마세요 산사태 경보 토양 함수 내려집니다 있는 최대한 도의 내렸습니다 나무 기울어져 있거나 비탈 갑자기 물이,NaN
189,진짜 오늘 오는 무료 취소 시켜줘야 하는거 아니냐 제작사 정부 호우 주의 경보 때리고 지하철 역은 침수 되고 난리,NaN
190,자택 실시간 보고 받으며 호우 피해 점검 상황 지켜보면서 어떡해 어떡해 하고 있는 크게 차이,-1.0
191,진짜 뻔했어 눈앞 산사태 나서 앞앞 깔렸음 맞냐고,NaN
192,호우 주의보 떴는데 대기 안함 배민 아니면서 도착 예정 세종 이유 종합 황실 있던 청와대 쓰니까,NaN
193,차가 여기저기 그냥 서있고 산사태 돌이,NaN
194,지하철 침수 역사 천정 무너지고 도로 잠기 산사태 비상 폭우 우면산 산사태 강남역 침수 사태 광화문 물난리 난리 났었다 지대 주민 조심하시고,NaN
195,가천대 기숙사 산사태 났나,NaN
196,재난 상황 트위터 소식 제일 빨라요 지난 년전 지진 트위터 소식 제일 빨랐어요 전화통화 카톡 먹통 되었었고 재난 발생 하면 트친 끼리 정보 공유 하는 필요합니다 들어 어디 대피,-1.0
197,됩니까 다른 지역 사망자 나오고 폭우 수도권 전체 고통스럽습니다 미추홀 어제 내렸고 오후 건의 피해 접수 됐고 산사태 주의보 내려졌습니다 밤사,-1.0
198,속보 서울 노원구 상계 중계동 산사태 경보 발령,NaN
199,아랫 지방 현재상황 서울 물난리 몰랐음 우리나라 오는 몰랐음 가뭄 개오지 저수지 거즘 바닥 보임 매미 소리 하루 종일 들으니까 미치겠음,NaN
200,속보 대본 서울 경기 호우 사망 실종 부상 뉴스,-1.0
201,소리 영상 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제 다음 뉴스,NaN
202,간밤 무서운 폭우 천둥 번개 워낙 피해 커서 안녕 묻기 무서울 정도 입니다 사망 오늘 폭우 이어지는데 부디 무서운 산사태 사고 없기를 악몽 떠오릅니다 부디 무사하시 기를 부디 피해,-1.0
203,조만간 가겠군 영상 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제,NaN
204,청와대 있으면 국민 목숨 살릴수 있었는데 우리나라 공무원 죽었어 강원도 산불 나서 물난리 나서 사람 죽었어 경주 지진나서 사람 죽었냐고 청와대 나랏님 있으면 재해 사람 죽는다면 많은,NaN
205,참고 가는건 파란색 지진 겪은 트친 알려 라이트 봉지 씌우면 밝아집니다,NaN
206,구르는 지진 날수있으니 조심하시오,NaN
207,속보 서울 노원구 상계 중계동 산사태 경보 발령 출처 매일신문 네이버 뉴스,NaN
208,당시 문재인 정부 호우 대처 긴급 상황 점검 회의 모습 어제 총리 호우 대처 긴급 상황 점검 회의 모습,NaN
209,서울 중구 산사태 경보 발령 됐다는데 재난 문자 제대로 발송 되고 있는 건가,0.0
210,지금 목격담 호우 버디 산책 딘깅 사진 찍어 호시 준앤 앤전 맛있는거 먹으러 간듯 잇군 추면서 걸었다 제보 투명 카약 자전거 경주 릴레이 홍앤밍 새벽 백화점 물어,NaN
211,퇴근 하고싶었나 대통령 평생 하나 최선 다해 가뭄 잘못 홍수 잘못이라며 작은 일도 꼼꼼히 챙기고 해결 하겠다는 그런 마음 있어야죠 국정 철학 문제 퍼낼것도 아니고 담당자,-1.0
212,횡성 산사태 돌아가셨대 속상하다 고인 명복 빕니다,-1.0
213,지금 시점 서울시 인사 공백 하수 처리 예산 문제 하는게 가장 기본 어떻게 세훈 이형 수가 있나 게다가 어제 오전 호우 예보 있었으니 세훈 이형 쉴드 칠거면 상습 피해 지역,0.0
214,산사태 남한 산성 인근 세대 고립 전화 먹통,NaN
215,가뭄 여름 수해 난다 모든 모든 자연재해 제외 된다 인류 문명 상당히 발전 했지만 폭우 하나 감당 강수량 맥스 설정 해서 재난 대비 한다던 전의 계획,0.0
216,영상 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제,NaN
217,서울 노원 도봉 종로구 산사태 경보 주의보 발령,NaN
218,강원 횡성 산사태 주택 매몰 평창 급류 숨져 뉴스,NaN
219,영상 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제 다음 뉴스 박형수 원내 대변인 지시 했느냐는 문제 없어,NaN
220,나라 가뭄 홍수 계속 되어 곡식 익지 않으면 허물 돌려 바꾸거나 죽여야 한다고 했다 결과 마여 죽고 아들 여섯 짜리 의려 세워 세웠다 삼국지 부여 시대 상관,NaN
221,오세훈 서울시장 우면산 산사태 사망 이재명 성남시장 교환 풍구 참사 사망 정말 어휴,NaN
222,오세훈 가뭄 지역 분할 설치 하자,NaN
223,서울 인천 홍수 나서 곳곳이 잠기 폐쇄하 지하철역 수십 길이 잠겨서 꼼짝 달싹 거나 둥둥 떠내려가고 있는데 재난 직접 책임자 서울시장 행안부 장관 인천 시장 대통령 빼기,-1.0
224,싱크홀 생겨서 트럭 빠짐 아스팔트 일어남 여긴 논현 입니다,NaN
225,과거 이돈 시절 강남역 호우 인해 진흥 아파트 인도 행인 감전사 하는 사고 보도 되자 진흥 아파트 주민 집값 떨어진다고 하며 민원 넣는 바람 기사 삭제 되었던 기억 있슴 덕분 상황 여전히 반복,NaN
226,가뭄 지구 어딘가 폭탄 퍼붓는다는 지구 물의 총량 일정하고 재앙 서로 연결 되어 있다,-1.0
227,동공 지진 일이 거짓말 같은 같은데 진실되어 보였어 비록 했지만 표정,-1.0
228,수도권 강원도 호우 특보 내려진 가운데 시간 내리는 있습니다,NaN
229,초밥 깔아놨어 밀려 드는 감동 쓰나미 후란 받아서 고맙다고 움쬬움쬬 해주는데 누구 허리 감싸더니 저런 멘트 날리고 있는거야 보기 했고 저런말하는지도 알겠는,1.0
230,민주 정부 지진 태풍 미리 재난 경고 분주하게 움직이면 별일 아닌 피곤하게 호들갑 세금 낭비한다 한다 이런 반응 많았음,-1.0
231,성심당 홈페이지 깄다 이번 호우 때문 았았 는데 저번 호우 때문 이었에,NaN
232,서울시 치수 예산 억원 줄어 증가 추세 이후 감소 종전 서울시 호우 대비 해서 공사 미리 진행 도로 배수 시설 사전 점검 정리 했어요 후관,NaN
233,순훈 호우 영뾰 아기 토끼 머리 했더라,NaN
234,인용 동공 지진,NaN
235,영상 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제 윤석열 대통령 문제 아니었 알았습니다 재난 물으니 갑자기 소리 하는 국민,-1.0
236,기록 폭우 기후 변화 아니라 그냥 그런게 가끔 발생 아니 씨바 그게 한국 있었던 되지 유럽 기록 폭염 켄터키 기록 폭우 미국 서부 산불 기록 가뭄 세계,NaN
237,호우 대처 회의 모습 호우 대처 회의 모습,NaN
238,푸딩 케이크 동공 지진 선생님 거기 어딘가,NaN
239,싸이 가뭄 흠뻑쑈한다 손기락질 받았잖아 좌파 비록 현직 아닌 전직 대통령 이었다면 물난리 났는데 자기 제주 신나게 물놀이 중이 사진 올리는 욕먹을만 하지 않냐,NaN
240,서울시 산사태 축대 담장 파손 지역 침수 도로 주택 상가 최대한 빠른 시간 복구 있도록 최선 있습니다 시민 여러분 재난 문자 기상 상황 확인 주시,-1.0
241,어제 강원도 산간 지역 많은 내려 침수 산사태 피해 발생 있습니다 물가 산사태 위험 지역 감전 위험 있는 고압 전선 근처 해주시고 산사태 보가 내려진 춘천 홍천 횡성 철원,-1.0
242,지자체 정부 되면 수구 걸림 여부 확인 산사태 극한 더위 대비 작업 해야 하지 않냐구 그게 상식 아냐 이제 수구 막힘 타령 있는게 되냐구 하기 싫으면 그냥 꺼져 대가리,NaN
243,지금 우리 라인 산사태 나서 소방관 집집 초인종 누르고 피하 급하게 지갑 들고 나왔는데 도로 엉망 빠져나올 무슨 일이 어디 가야해,-1.0
244,산사태 발생 주택 쳤고 남성 매몰 숨졌습니다,NaN
245,한국 과외 한국 장마 보고 정말 고맙다고 해서 가뭄 고통 받았었나 재해 상황 아니지 않나 했는데 완전 반대 어이 없을 정도 불만,-1.0
246,이쯤 되면 오세훈 가뭄 지역 시장 해야 되는 아닌지,NaN
247,아니 가뭄 이한창 흠뻑 같은걸 하니까 예수님 빡친거아,NaN
248,지금 댓글 달리는 보고 동공 지진 나서 없는 신어 하나 고민 중이,NaN
249,서울 폭설 내리고 난리 구경 없던 지방 살던 모습 마치 다른 나라 같았다 지금 수도권 물난리 남부 가뭄 시달리는 지역 아득히 멀게 느껴지겠구나 한다,NaN
250,내려서 스스로 생각 하기에 자신 비슷하게 생긴 사람 험악 근육 덮은 문신 상탈 가리키면서 귀엽지 속닥 동공 지진 하는 보고 싶다 생각 맞았나,NaN
251,현재 수도권 강원 산지 호우 특보 발효 가운데 서울 인천 북부 강원 북부 중심 시간 매우 강한 내리는 있습니다 최신 기상 정보 특보 상황 실시간 레이더 영상 참고 해주시,NaN
252,윗쪽 피해 남쪽 극심한 가뭄 함부로 옮기는게 아니다,-1.0
253,계양 구청 계양구 산사태 발생 위험 높음 산림 발생 우려 지역 주민 방문객 입산 금지 떨어진 안전한 피해 시기 바랍니다 계양 구청 안전 안내 문자 재난 문자,0.0
254,호우 순훈 호랑이 산신령 이제 인간 행세 한다네요,NaN
255,중부 집중호우 서울 자치구 산사태 경보 주의보 발령,NaN
256,스쿠 이타 메인 지른 먹는 사람 고유 후시 이타 소비 하는데 그릴 그릴지는 몰라용 그림 가뭄 하고 파우치 만듭니 숨쉬듯이 여체화 하니 지뢰 계정 뮤트 추천 드립니당,NaN
257,국민 박형수 원내 대변인 윤석열 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제 머릿속 북풍 공작 글자 아무 들어있는게 없다 보니,-1.0
258,기록 호우 인한 강남 침수 오세훈 대권 떠내려가 버림 수해 기억 하는 서초 구민 강남 구민 많아요,NaN
259,서울 폭설 내리고 난리 구경 없던 남쪽 끄트머리 살던 모습 마치 다른 나라 재난 같았다 남부 가뭄 시달리는 지역 지금 수도권 물난리 아득히 멀게 느껴지겠구나 한다,-1.0
260,육아 경력 이긴 했지만 무선 낳은 아이 부친 남망기 가졌을 낳아만 주면 세상 전부 굴더니 낳고 모든 육아 자처 남망기 출장 처음 무선 아이,NaN
261,흐아앙 이었어요 동공 지진,NaN
262,정말 대통령실 통째 개판 대가리 제대로 개도 없네 영상 대통령 호우 대처 아쉬운 묻자 서해 공무원 피살 무대 처가 문제,1.0
263,가요 혹시 탐라 켈포 계신가용 부스 참가 돌아다닐 알았는데 매우 친절하신 행사 규칙 덕분 이틀 정도 시간 여유 잡고 갈거 같아서 하루 타운 생각,1.0
264,살던 사람 알아서 나가라는 인센티브 지원 건물 가는 건가 뻔해서 웃기지도 않다 시발,NaN
265,트위터 보고 진짜 게으른 사람 게으름 탈출 읽었는데 저자 얘기 공감 된다 현실 직면 하기 무서워서 중요한 회피 시간 스마트폰 채웠다는거 진짜 얘기,-0.3333333333333333
266,진짜 통장 없어서 다행 잇엇으 바로 질럿 같은 들어갈 북마크 늘어요,-1.0
267,이벤트 돌아오는 리다 나비 생일 맞이 하여 간단한 이벤트 고자 합니다 나누어서 보내 드리려고 합니다 물건 도착 하면 그날 하겠습니다 많은 참여,1.0
268,세상 나오면서 한번 다루고 싶었다는 사인 다르다는 이유 폭력 대상 된다 꿰뚫고 있다는 시야 가질 있던 로서 활동 하며 불러 가사 덕분 스스로,0.0
269,트윗 정체 시발 황현진 씨발 요즘 언니 원래 보다 하나 씨바 띠발 얼굴 감사 인디 워친 시작 이니 누가 그땐 현지 노래 주행 본계 해주세요 미친 미친 개년 사실,-0.3333333333333333
270,팝콘 게임 블랙 라벨 소프트 하드 포토 카드 슬리브 공구 모든 배송 방법 이용 가능 포장 수고비 센드 예약 최소 세트 공구 참여 가능 무료 배송 금액 세트 채워질 바로,NaN
271,기존 진보 총장 짧게 제작 벨진 인디고 컬러 사이즈 리트윗 추첨 통해 선물 보내 드립니다 구매 있는 기존 노멜렛 회원 라면 누구 참여 가능하십니다 작아 총장,NaN
272,맞아 용기 사나 전사 가면 진입 합니다 리제 지원 요청 매크로 있으면 좋을거 같아 올려주시긴 하는데 나가기전까지 모르시니까 내일 늑대 우리 스킬 연습 해야,1.0
273,더보이즈 서울 페스 무대 완료 힙노 타이즈 스릴 라이드 따라 불러주는 더비 덕분 더보이즈 으쓱 으쓱 더비 퇴장 하지 우리 금요일,1.0
274,전장 짜릿해요 재밌다 탱커 필수 아니라네 하지만 전사 들고 탱아드 버스 지원 댕겨 점사 지시 짜릿 용기 사도 긴한데 희귀 사실 언제 무슨 기술 써야 할지 몰라서,1.0
275,다행 저희 글자 대화 했는데,NaN
276,악기 프로필 좋은 해남군 낚시터 감사 선물 라드 수서 스냅 수원 코로나 건강한 밥상 송편 생일,1.0
277,먕박 절대 사면 하면 안되 이유 김대중 정부 자원 외교 계획 수립 했고 노무현 정부 니켈 전략 광종 지정 했고 정부 아프리카 마다 카스카 토미 광산 광물,NaN
278,최근 들어 번은 같은데요 의도 했든 의도 하지 않았든 피곤한 베이스 두고 덕분 기분 좋게 자잖아 지금 그럴 같고 정도 버텼다고 생각 자는 누구 자야겠다 자기야,1.0
279,우영 생각 하면 어떤 사물 떠오르나요 아래 링크 접속 설문 참여 해주세요 사연 채택 우영 폴라로이드 사진 선물 드립니,NaN
280,촬영장 아픈 길냥이 구조해 좋은 주인 찾아 호비 미키 의안 이픈 보고 가슴 아팠다고 진짜 천사,0.3333333333333333
281,할로윈 신부 개봉 기념 이벤트 합니다 당첨 최애 아무로 토오루 셀렉 참여 코난 라면 누구 트친 한정 주소 알려주셔야 해서 민감하신 해주세요 참여,1.0
282,구조 바꿨다 시바 힘들었다,NaN
283,당신 무인도 홀로 조난 당하게 되었습니다 구조 언제 올지 미지수 당신 가지 물건 가지 있습니다 물건 무엇 휴대폰 음식 도끼 마스,-1.0
284,모아 오늘 무대 어떠셨나요 모아 덕분 멋있는 받을 있었어요 항상 고맙고 사랑 해요 모아,1.0
285,하지 양도 가격 물건 완유 무는 타레 확인 해주세요 하지 이상 팔릴시 해주 신분 랜덤 어치 보내 드립니다 초면 참여 가능,NaN
286,기자 다행 싶으신 건가,NaN
287,작품 트랙 외전 되었습니다 신작 미식 이벤트 진행중 댓글 남기고 포인트 받아가세요 배우 피디 조합 라이 라이 해주신 추첨 해우 좋아하는 호빵,1.0
288,생존 신고 합니다 통신 두절 이었는데 전기 통신 복구 되었어요 동네 박살 났네요 길이 끊겨 고립 저희 사람과 모두 무사합니다 아래층 완전히 침수 되었고 여전히 나오지만,NaN
289,이벤트 현호색 작가 깊은 이벤트 열어주셔서 역시 동참 합니다 정식 사이트 봐주시는 독자 여러분 항상 감사 드립니다 더운 여름 시원하게 보내시라고 준비 했습니다 웹소설 불법 사이트,0.6
290,워후 연속 에피소드 멘탈 제대로 갔네요 와주신 감사 드리고 팔로우 감사 드려요 덕분 팔로우 돌파 했네요,1.0
291,수요 조사 기념 이상 추첨 하여 무료 증정 고양이 타로카드 귀여운 고양이 구성 타로카드 고양이 기운 기분 좋은 점괴 나올,1.0
292,알티 아이패드 이번 마지막 이벤트 누구 참여 가능한 공모전 공유 이상 짧은 영상 제작 공모전 작품 예시 확인 응모 기간 응모 하기,1.0
293,수지 웃고있어서 다행 우리 미안해,NaN
294,판매 감사 트윗 랜드 전시 실물 액자 신나는 빵울 신나고 즐겁게 입양 주셨습니다 항상 많은 응원 관심 감사합니다 랜드,1.0
295,그거 반응 좋고 예절 교육 사회 교육 덕분 반응 좋고 피자 파티 하고 이유 겹치 도장 무술 이전 생활 공간 되어 버렸음 한국 그대로 보존 태권도,1.0
296,안녕하세요 음원 정보 입니다 저희 음정 넘도록 모금 헬퍼 모집 하지 않고 극소 수로 금전 참여 없는 분석 독려 진행 해왔습니다 이전 포함 하면 넘게 진행 하지 않은 입니다 하지만,NaN
297,새벽 차가운 공기 찢어진 심장 느끼며 그녀 서서히 죽어 갔다 고통 오직 사람 얼굴 떠올랐다 각오 죽음 얼굴 떠올리니 싶었다 그리고 살고싶다는 감정 덕분 그녀 있었다,-1.0
298,병원 매일 찾아가는 은근 눈치 보이 힘들었었는데 지금 마당 편하지 만요 간호사 누나 이해해 줘서 다행 이었어요 번호 교환 누나,NaN
299,솔직히 병원 매일 찾아가는 눈치 보이 힘들었었는데 간호사 누나 좋아해줘서 다행 였어요 누나 이건 비밀 했는데 좋다는데요,NaN
300,하하 영정 즐거우 셧다 다행 입니다,-1.0
301,우리 생각 합니다 우리 필요한 도움 될지도 항상 감사 드려요,1.0
302,최재형 인국공 스카이 골프장 불공정 낙찰 의혹 감사 덮었다 최재형 넥션 크게 번지 이런 사람 이었어 믿을 인간 없네 인청 항공사 감사원 최재형 커넥 유병호 감사원 사무 총장,0.0
303,워후 연속 에피소드 멘탈 제대로 갔네요 와주신 감사 드리고 팔로우 감사 드려요 덕분 팔로우 돌파 했네요,1.0
304,나도 화덕 행복해 에이 성화,NaN
305,불행 다행 투구 무릎 맞은 김현준 단순 타박상 대구 학교 기본 배운 선수 같아서 응원 합니다 구자욱 선수 지금 배트,-1.0
306,있지 후회 하진 않아 하지만 조인우 하지 않아 일이 있어 덕분 여기 도망쳐 나왔는데 후회 하지도 않고 하지도 않아 하준호 조인우,-1.0
307,자본주의 비건 놀라웠습니다 나눠 친구 압도 감사 비건,1.0
308,위키 미키 후보 올랐습니다 투표 기간 투표 방법 로드 맥스 커뮤니티 투표 하기,NaN
309,이벤트 참여 감사합니다 수정,1.0
310,소고 번호 따가는 사람 없을까 차이나 히지카타 번호 잘만 따이는데 카구라 따인 다행 생각 해라,NaN
311,개발자 인정받고 연봉 받으며 지원 자도 넘쳐나는 호황 기는 찍고 내려가는 덮어놓고 다투어 일단 뽑았다가 최근 경제 상황 좋아지니 어떻게 줄일지를 고민 있다는 소식 종종 들린다 지원 풀이,NaN
312,전하 다행 입니다,NaN
313,우리 아미가 좋은 거가 바로 좋은 거기 때문 어쩌면 늦은 시간 어쩌면 이른 시간 일기 같은 읽어주셔서 감사 드리고 디제이 느낌 오늘 마무리,1.0
314,새로운 레진 업로드 기념 이벤트 진행 합니다 해주신 뽑아 사진 레진 꾸를 보내 드립니다 많은 참여 부탁드립니다 추첨 입니다 이벤트,1.0
315,후기 감사 드립니다 받으셨다는 후기 볼때 만들어야겠다는 생각 들어요 예쁘고 귀여운 최애 행복하시길 문의 있어서 기재 합니다 후기 편히 언급 하시고 써주셔도 괜찮고 주셔도 괜찮습니다,1.0
316,오늘 군산 찾아와 덕분 쇼챔피언 행복했어요 다음 만나요 뿌뿌,NaN
317,주말 볼까 발행 이벤트 화려하게 등장 해당 트윗 팔로우 하신 사진 발행 원하시는 작품 드립니다,1.0
318,옐로 하우스 인천 성매매 집결 성매매 여성 자활 지원 사업 받았음 집결 폐쇄된 여성 성매매 하는 경우 드물고 지역 성매매 집결 지로 이동 거나 다른 성매매 업종 종사,NaN
319,고윤 구조 늦었습니다,NaN
320,경품 참여 방법 팔로우 하트 물건 좋아하시는 참여 해주시면 좋겠습니다 넨도로이드 직접 현지 프리미엄 붙었더라구요 추첨,NaN
321,탈출 지능 순인,NaN
322,사라지도록 덕분 하게 기분 망쳤으니,NaN
323,알았다니 다행 캔디 와있거든,NaN
324,친노 세력 한미 폐기 구호 유용한것은 명박 탄핵 처럼 참여정부 책임 덮을수있는 도일 유용하다 한미 온전히 이명 박근혜 작품 라면 친노 한미 폐기 구호 여전히 매력,1.0
325,경쟁자 생기지 않아 다행 입니다,NaN
326,인생 한순간 사람 존재 했던 있긴 해서 다행 주머니 레몬 사탕 만지작댄다 정말 고마워 그리고 웬만하면 잊는게 편할거야,NaN
327,열대야 괴로운 오싹하게 돌아온 크리스마스 왜인 서늘하게 느껴지는데 캐럿 지금 누구 방금 돌아봤다 짜릿한 칼퇴 맛볼 과연,-1.0
328,정전 수도 복구 됐다고 좋아하던 친구 아파트 무사한지 걱정 된다 뉴스 모두 어제 얘기 하네,-1.0
329,죠셉 살던 시대 유튜브 틱톡 없어서 다행,-1.0
330,다행 저런 남자 엄마 되면 했는데,NaN
331,오늘 와줘서 고맙고 더운데 고생 제일 많았어 그리고 제일 중요한 안전 귀가 하기 덕분 즐겁게 했어 이빠이 지훈,1.0
332,탄저균 환경 나빠지면 살아남기 포자 상태 휴면 들어가는데 덕분 매우 사용 하기 편한 생물 무기 되었다고 한다 유전자 조작 의해 탄저균 독성 강화해 치사 퍼센트 높이는 성공했다,1.0
333,판아인은 어제 오늘 그렸어서 그냥 아인 단독 하나 그리고 있어요 감사 합니다,1.0
334,생일 축하 해주 신분 감사 드려요 생일 지난 간정 지났지만,1.0
335,여기 각종 자격증 학원 등등 전공 분야 스펙 도움 되는 여쭤나 보세요 부모 실제 상황 부담 안고 걱정 하는 경우 많으므로 안된다면 하는 마음 지원,-0.3333333333333333
336,호비 길냥이 구조 해줬던 얘기 직접 입양 찾아 줬었어,NaN
337,단독 갓세븐 박진영 폭우 피해 복구 위해 만원 기부 선한 영향력 뉴스 사진 출처 엔터테인먼트 뉴스 진영 박진영,-1.0
338,우리 호비 아픈 고양이 구조해 주인 찾아 줬구나,-1.0
339,수빈 입니다 뮤뱅 덕분 대리 해보고 좋네요 오늘 뭔가 평소 나이 있어 보이지 않았나요 담주 뮤뱅 챙겨 봐주세요 수빈,NaN
340,지원 리블렛,NaN
341,에피파니 주년 이벤트 추첨 통해 인형 찌니 옷장 드리겠습니다 찌니 원하시면 제작 완료 보내 드려요 해시태그 써주시면 감사 드려요 에피,1.0
342,스바루 슬픔 감정 스스로 회피 정리 하지 하는데 트릭 스타 만나면서 슬픔 감정 깨닫게 되고 구원 받음 그리고 빅뱅 부분 한번 꼬집어 준거 좋았어 마오 내용 마주 하게하고 호쿠토 울고싶으면,-0.3333333333333333
343,다행 헝헝 매크로 멀리 치워놨으니까 이제 실수 없다,-1.0
344,아이오 아이 엠카운트다운 본방 사수 하셨나요 오늘 많은 응원 감사 드립니다 아이오 아이,1.0
345,박스 담겨 유기 청실 홍실이 가족 찾고 있어요 구조 검진 마쳤고 접종 마쳤다고 합니다 예쁘지 않나요,NaN
346,언제 어디 서나 함께해 주는 덕분 오늘 하루 완벽하게 마무리 늦은 시간 자리 지켜주신 여러분 감사 드리고 모두 안전 귀가 하세요,1.0
347,생일 추첨 컨셉 매듭 팔찌 드려요 생일 전인 하시면 참여 완료 반택 등기 보내 드립니다,NaN
348,지금 좁은 얘기 뜬금 없다 있어 덧붙인다 이하 작은 주거 공간 공간 자체 비인간 성도 있지만 재난 엄청나게 취약 구조 어딘가 자투리 공간 거나 공간 임대 위해,-1.0
349,여러분 덕분 좋은 경험 하게 되었습니다 진심 감사합니다 우리 아미 받았네,1.0
350,일어 회화 리그 이벤트 무료 데이터 복구 저녁식사 오브 드로잉 모히또 양평 여행 가슴 아픈 마음 홈트 진심 고창군 주말 인천 도치 아들 실크 안전교육 견인 영광군 여행 노을 고령군 철물 버블,0.0
351,팔로우 간안내 아드벡 작가 고요한 서약 기다림 단행본 되어 위벨 블로그 이벤트 진행중 많은 관심 참여,1.0
352,지속 봉사 가장 기쁘고 행복한,1.0
353,단양군 여성 사회 참여 창업 돕는다,NaN
354,잔다고 해놓고 레이드 택틱 공유 하는 사람 덕분 순위 올랏음,NaN
355,도련님 사진 다행,NaN
356,혹시 주변 길냥이 구조해 보신 있으신 멘션 디엠 부탁드립니다 폭우 어미 마리 유기한 추정 되어서 지켜보아야겠으나 구조 병원 등등 여쭤 보고 싶은게 있어,NaN
357,다행,NaN
358,물질 분해 그리드 힉스 메커니즘 무시 하는 구조 설계 되었습니다,NaN
359,이벤트 추첨 통해 오늘 생일 자인 명의 최애 그려져있는 도무송 보내 드려여 참여 방법 해주세요,1.0
360,의성군 이벤트 상품 참여,1.0
361,예전 부산 살아서 아는데 배수관 쌓인 쓰레기 없애도 폭우 예방 도움 됩니다 기왕 이면 지나가다가 배수관 쓰레기 쌓여있는거 같으면 국민신문고 설치 사진 찍고 신고 해주시면 좋아요 학생,1.0
362,시발 개커엽다 공연장 한다고 현진왈 마니와 마니 이벙 쥰비 마니 제발 와주세요 채워주세요 미치겟다 씨발 소녀 당장 출동 자리 잇으면 다행,NaN
363,이런 보면 저희 선생님 명절 선물 받으셔서 다행 저희 스승의날 선물 챙기거든요,NaN
364,그쳐서 다행 디디,NaN
365,그럼 다행 헤헤,NaN
366,친구 신청 주셨네요 공략 아니라 레벨 부족한거 아닐까 일단 친구 지원 유닛 빌려서 보세요 아마 제일 도움 되지 않을까 싶은,1.0
367,격의 허용 되니 노인 환자 케어 하기에는 좋은 점도 있었다고 시기 놓쳐서 심각하게 되는 쉽게 문진 하면 다행,0.0
368,이제 보여줄 있다 스티븐 주황 머리 어떤 가요 어울리나요 오늘 루미 덕분 행복하게 마무리 완료 고마워요 루미너스,NaN
369,폭염 한증막 극한 광고 제작 탄생 찜질방 마니아 미연 양세형 아이 미연 광고 경북 페스,NaN
370,도지 사운드 클럽 마이크로 서울 페스티벌 글림 이벤트 진행 합니다 이번 이벤트 서울 랜드 페스티벌 티켓 제공 예정 입니다 글림 점수 상위 랜덤,1.0
371,같은 앓는 다행 생각 하는데 하면 하구 생길 아니 조용히 있는 무어,-1.0
372,밤새 물난리 났는데 복구 대책 공무원 출근 하라 최고 관료,1.0
373,정국 이의 스물 여섯 생일 맞이 포트 진행 합니다 이벤트 공지 추후 안내,1.0
374,년도 충청도 엄청나게 왔음 김정숙 여사 수해 현장 가셔서 복구 작업 우셨는데 마을 인근 사는 여사 사람 좋고 고마웠단 얘길 들려줬었다 관심 지방 수해 현장,1.0
375,비밀 사이 김수현 느와르 컨셉 건망 지인 지원 저장 재업 금지,NaN
376,비숑 미용 근육 이완 아아 주세 창업 준비 즐거운 직딩 일상 달맞이 갤러리 하동균 화랑 미술 부산 유기견 봉사 수지 한남 카트 하는 사람 부안 안마방 아프리카 신림동,1.0
377,쌍방울 혜경궁 법카 녹취록 덕분 오늘 꿀잠 예약,NaN
378,이럴수가 늦어 구해 다행,NaN
379,어글리슈즈 캠핑 마블 스퀘어 든든한 지원,NaN
380,가끔 트친 자소 헤이트 논거 읽을 레알 친구 유지 해주셔 서너 감사 드립니다 하고 저절로 무뤂 꿇기 자세 있음,1.0
381,티니 덕분 더쇼 초이스 관왕 달성 오늘 내일 사랑 해요 에이,1.0
382,에고 나눔 들고 움직이는것도 일이 겠다요 어지간한 정성 진짜 감사 한일 있어서 좋다는,1.0
383,드뎌 아이 도착 했어요 오빠 인천콘 입혀서 데려가려 했으나 망할 코로나 때문 콘도 가고 휴가 놀러 가고 출근 이쁘니까 감사 드립니다,0.0
384,저희 의상 책임져주시는 은희 감사 드리고요 스껄,1.0
385,마음 졸여가며 새벽 해시 신분 감사 드려요,1.0
386,극한 열운 목줄 추천 돌이 탈출,NaN
387,초대 지원 해보고싶은데 검사 지랑 흡연 아쉽네요 동이 좋으 신분 같은데,NaN
388,미필 애사 코스터 수요 조사 반드시 구매 하실 분만 참여 부탁드려요,NaN
389,주인 화가 업데이트 되었습니다 정식 사이트 봐주시는 모든 감사 드립니다,0.0
390,지민 민시 이번 수혜 국민 충격 받은 가운데 정신 육체 힘드신 조금 보탬 되고자 적은 금액 지민 이름 동참 했어요 피해 없고 복구 되길 바랍니다,-0.3333333333333333
391,김호중 한가위 판타지아 김호중 좋은 추억 만들 모집 합니다 듀엣 지원 모집 기간 듀엣 지원 하기 청곡,1.0
392,자주 들어오지 해도 탐라 마리모 둬주시길 바라며 지금 함께해 주신 감사 의미 트친 한정 알티 이벤 합니다 뽑아서 환상 드릴게요 트친 한정 알티,0.0
393,시행 진법 막으라는 맹주님 있었습니다 시간 맞춰 도착 다행 이군,NaN
394,작성 지역 신분 지원 부탁드립니다,NaN
